Position,Relative_position,Mag_Sus,MSE,Incoherence,Coherence,Inc/Coh,Al,Si,Si/TI,P,S,Cl,Ar,K,Ca,Ti,Mn,Mn/Ti,Fe,Fe/Ti,Fe/S,Co,Ni,Cu,Zn,Ga,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Pd,Cd,In,Sn,Sb,Cs,Ba,La,Pr,Nd,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Hf,W,Re,Os,Au,Hg,Pb,Bi,Po,At,Ra,Ac,Th,U
64.5,115.91,NaN,2.54,22196,62186,0.356929212,389,3252,0.112580489,63,1721,20,3573,26621,32575,28886,1223,0.042338849,242325,8.389011978,140.8047647,1413,111,0,234,35,767,0,360,398,36,0,0,95,23,34,0,450,250,78,928,344,672,1069,2012,510,986,636,347,173,353,107,100,0,0,0,116,174,0,68,62,0,29,640,216,44
65,116.41,NaN,2.05,23950,60452,0.396182095,302,3487,0.121329158,50,1719,81,3400,26629,33903,28740,1445,0.050278358,250092,8.701878914,145.486911,1620,103,0,307,43,734,112,284,512,0,148,84,108,103,16,199,212,345,180,1142,588,695,722,2075,627,1756,584,394,220,421,105,34,0,0,74,232,267,0,60,55,0,15,585,165,91
65.5,116.91,NaN,1.99,25935,59096,0.43886219,336,3377,0.118408135,46,1629,60,3506,26272,32653,28520,783,0.027454418,255868,8.971528752,157.0705955,1332,41,0,359,25,452,29,472,419,0,83,79,15,9,49,376,90,432,138,1185,376,648,355,2779,554,2707,359,415,26,355,0,59,0,0,0,141,238,0,9,0,43,9,356,149,44
66,117.41,14.5,2.59,24268,59781,0.405948378,298,3285,0.117208406,49,1688,37,3594,25528,33085,28027,760,0.027116709,262426,9.363328219,155.4656398,1378,0,0,167,0,565,42,379,477,92,85,97,100,40,111,333,99,350,100,1209,416,529,868,2676,412,2852,402,553,116,283,0,0,0,0,0,96,112,0,0,0,0,0,469,302,49
66.5,117.91,NaN,2.6,26574,58624,0.453295579,293,2763,0.102599332,47,1576,64,3730,23891,30367,26930,1613,0.059896027,259931,9.652098032,164.9308376,1555,79,0,325,11,630,71,414,516,0,0,78,22,0,54,450,0,338,93,1118,298,845,572,2154,496,2685,271,403,196,227,0,0,0,0,0,36,151,0,0,0,0,22,652,277,60
67,118.41,NaN,2.79,26238,59091,0.444027009,320,3118,0.113431315,89,1573,72,3878,25280,31811,27488,921,0.03350553,257095,9.352990396,163.4424666,1500,105,0,307,0,696,18,351,430,7,13,140,36,0,15,235,71,450,153,1165,402,644,517,2584,570,2878,396,447,176,347,0,0,0,0,0,95,164,0,0,16,0,45,638,162,94
67.5,118.91,NaN,2.35,23696,59514,0.398158417,315,3295,0.123890811,38,1643,96,3840,25009,31336,26596,1121,0.042149195,255966,9.624229207,155.7918442,1451,0,0,247,0,450,17,344,453,60,128,78,51,25,47,397,57,300,147,1164,407,719,980,1893,401,3155,202,492,191,267,0,0,0,0,0,44,132,0,0,0,0,0,414,234,57
68,119.41,14.31,2.47,24542,57225,0.428868502,306,3205,0.128082164,61,1637,40,3723,23478,28735,25023,975,0.038964153,255121,10.19546018,155.8466707,1246,0,0,283,0,567,23,396,531,65,11,88,115,8,67,231,116,317,97,1189,379,530,660,2838,441,3010,298,500,104,322,0,0,0,0,12,194,174,0,0,0,0,41,698,277,84
68.5,119.91,NaN,2.39,24097,57946,0.41585269,290,3047,0.124428291,18,1666,61,3787,23016,27451,24488,599,0.02446096,254343,10.38643417,152.6668667,1471,94,0,87,46,917,57,328,347,0,0,112,109,0,56,304,42,354,122,1050,327,626,677,2845,575,2375,338,365,35,449,0,100,0,94,0,0,27,0,0,36,0,0,817,285,8
69,120.41,NaN,2.09,22515,59004,0.381584299,284,3054,0.125189588,46,1678,52,3888,23665,24874,24395,1409,0.057757737,251878,10.32498463,150.1060787,1454,127,16,365,0,688,14,342,372,61,35,117,46,0,58,152,187,231,102,1044,485,654,829,2385,583,1267,652,358,160,271,0,0,0,0,0,95,158,0,0,0,0,0,565,196,13
69.5,120.91,NaN,1.72,24783,59662,0.415390031,273,2928,0.114801019,42,1322,56,3787,24785,25103,25505,832,0.032621055,230037,9.019290335,174.0068079,1473,105,0,173,30,885,12,365,276,0,95,0,27,14,16,109,244,212,92,929,402,635,616,2115,547,1518,424,404,33,444,0,121,0,0,0,162,145,0,79,0,0,0,464,164,10
70,121.41,14.64,1.74,23901,60033,0.398131028,329,3363,0.122108856,50,1318,6,3827,27166,27431,27541,940,0.034130932,212129,7.702298391,160.947648,1379,76,0,147,19,562,0,309,500,89,269,19,20,6,50,66,439,303,59,1181,434,639,643,2030,540,1122,585,328,217,363,134,24,0,0,12,218,116,95,79,131,0,72,201,147,35
70.5,121.91,NaN,1.61,22388,60388,0.370735908,420,3968,0.134008781,7,1214,32,3907,30377,31499,29610,388,0.013103681,199122,6.724822695,164.0214168,1417,69,0,379,94,692,0,438,568,101,231,56,64,0,36,49,344,257,99,1169,423,677,555,1173,344,1188,502,461,367,402,67,57,0,0,18,8,269,77,77,35,48,0,302,109,10
71,122.41,NaN,1.44,21889,58549,0.373857794,409,4095,0.1338454,74,1256,33,3927,30635,32785,30595,739,0.024154274,198611,6.491616277,158.1297771,1280,169,0,349,59,528,14,538,571,64,359,81,83,7,44,141,261,296,93,1006,390,652,758,1239,467,1148,396,362,198,471,0,113,0,0,0,89,193,159,61,0,12,0,147,113,37
71.5,122.91,NaN,1.63,22973,59699,0.384813816,463,4347,0.140752493,0,1364,58,3762,30931,34745,30884,685,0.022179769,205176,6.643439969,150.4222874,1448,110,0,268,63,942,0,333,558,79,95,74,59,53,55,284,289,287,88,1171,421,728,756,1213,394,1205,360,520,174,564,0,112,0,0,0,52,131,0,75,75,0,101,585,107,158
