Position,Relative_position,Mag_Sus,MSE,Incoherence,Coherence,Inc/Coh,Al,Si,Si/TI,P,S,Cl,Ar,K,Ca,Ti,Mn,Mn/Ti,Fe,Fe/Ti,Fe/S,Co,Ni,Cu,Zn,Ga,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Pd,Cd,In,Sn,Sb,Cs,Ba,La,Pr,Nd,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Hf,W,Re,Os,Au,Hg,Pb,Bi,Po,At,Ra,Ac,Th,U
302.5,353.91,NaN,1.3,23253,60417,0.384875118,473,5434,0.150910909,52,359,55,3897,39626,32191,36008,681,0.018912464,123318,3.424738947,343.5041783,731,167,0,345,13,1330,6,702,755,155,491,27,63,0,76,296,381,393,123,1325,531,553,544,1421,188,1102,381,365,209,418,0,18,168,46,0,0,0,0,0,0,202,15,367,237,119
303,354.41,NaN,1.16,23187,60907,0.380695158,419,4965,0.143463939,47,371,58,3738,38183,32490,34608,1307,0.037765834,125304,3.620665742,337.7466307,824,83,0,430,77,1166,32,689,839,133,562,42,81,0,130,275,170,412,128,1473,383,765,806,1060,112,1365,188,464,152,450,11,26,0,0,0,82,148,26,12,8,0,129,263,164,90
303.5,354.91,NaN,1.35,23373,62425,0.374417301,403,4833,0.144683271,59,391,127,3645,36175,32829,33404,779,0.02332056,131204,3.927793079,335.5601023,898,44,21,547,22,1425,42,689,814,20,441,18,121,6,76,454,119,427,162,1311,483,765,685,364,167,1087,363,519,356,299,39,0,5,0,27,31,216,0,0,0,0,32,360,264,57
304,355.41,41.53,1.29,25034,63440,0.394609079,414,4031,0.131427081,0,435,36,3456,32076,32168,30671,971,0.03165857,144646,4.716050993,332.5195402,916,0,0,378,78,1415,0,559,866,28,476,76,155,7,53,212,145,359,125,1150,475,651,873,1004,92,1179,287,561,247,489,101,0,0,0,0,90,129,256,74,107,5,50,95,105,89
304.5,355.91,NaN,1.33,24811,60001,0.413509775,420,4026,0.123390953,73,468,75,3621,33219,34813,32628,855,0.026204487,147355,4.516213069,314.8611111,946,137,0,426,39,1817,0,699,753,50,143,43,150,0,58,291,278,296,143,1353,467,778,516,1297,274,1197,305,348,146,367,0,82,61,0,0,0,69,0,0,0,0,0,617,104,35
305,356.41,NaN,1.44,23000,63619,0.361527217,381,4662,0.136827894,48,500,53,3611,35430,36625,34072,807,0.023685137,150235,4.409339047,300.47,961,30,0,404,59,1919,58,573,758,188,174,49,92,47,81,400,142,523,176,1241,469,751,823,1546,148,1304,398,511,231,362,0,0,54,0,93,103,170,0,93,54,0,13,692,203,0
305.5,356.91,NaN,1.32,23239,62312,0.372945821,431,4711,0.141149329,53,506,66,3621,35169,34591,33376,1063,0.031849233,149148,4.468720038,294.7588933,1044,9,0,333,64,1586,8,534,755,86,367,88,76,0,23,334,322,325,156,1211,486,673,751,625,165,1234,400,565,310,500,201,44,0,0,9,175,157,31,144,0,0,0,221,0,28
306,357.41,39.22,1.22,23711,60763,0.390221023,378,4513,0.135192619,67,315,37,3777,35832,33107,33382,767,0.022976454,139157,4.168623809,441.768254,960,114,0,423,53,1186,0,600,694,43,525,53,0,0,74,70,535,312,24,1227,404,625,467,1221,52,1206,350,510,250,482,23,34,0,0,0,42,72,385,67,35,9,53,0,20,8
306.5,357.91,NaN,1.23,22407,60962,0.367556839,417,4699,0.140331492,42,367,60,3755,36625,32270,33485,833,0.024876811,137524,4.107033,374.7247956,870,60,20,318,57,1373,25,569,755,130,519,0,0,0,30,34,554,223,80,1182,369,639,726,1031,36,1332,305,621,313,423,0,0,0,0,0,80,0,0,28,17,40,0,212,85,14
307,358.41,NaN,1.34,23639,60956,0.387804318,458,4694,0.133545762,23,367,72,3785,37510,31916,35149,1129,0.032120402,136843,3.893225981,372.8692098,918,25,81,512,44,1356,28,619,797,0,424,25,0,0,13,6,307,314,66,1210,408,474,533,827,0,1081,484,599,313,319,65,0,0,0,96,124,204,15,0,0,92,23,274,101,0
307.5,358.91,NaN,1.18,24094,62403,0.386103232,430,4450,0.129352945,48,350,53,3631,37112,32445,34402,1225,0.035608395,132816,3.860705773,379.4742857,921,93,34,501,79,1361,0,582,860,55,502,31,67,13,66,362,171,325,128,1344,436,665,562,683,168,1063,413,500,397,356,50,0,0,0,5,99,75,0,64,36,0,16,303,170,0
308,359.41,37.58,1.24,22660,62763,0.361040741,422,5030,0.145962102,58,381,81,3544,38509,34346,34461,1222,0.035460375,136356,3.956820754,357.8897638,880,136,62,396,69,1479,82,637,721,0,405,67,59,0,5,373,247,368,75,1362,302,721,859,960,168,902,415,480,318,326,0,0,44,0,0,56,96,40,61,7,0,36,279,95,132
308.5,359.91,NaN,1.42,24070,62174,0.387139319,482,5121,0.1497894,40,404,43,3621,39165,34826,34188,1568,0.045864046,140278,4.103135603,347.2227723,966,102,0,213,0,1529,57,630,770,68,478,125,59,0,0,197,236,427,122,1212,474,736,531,944,222,1331,276,363,186,455,27,91,0,90,0,26,112,77,40,0,39,94,309,126,80
309,360.41,NaN,1.49,22707,62827,0.361421045,424,5103,0.145691772,59,455,74,3657,38765,36230,35026,1718,0.049049278,143994,4.111060355,316.4703297,819,104,0,434,46,1279,0,640,847,106,513,0,0,20,70,326,269,361,138,1314,448,639,903,1374,116,1252,482,379,199,375,0,0,51,0,52,0,142,268,19,38,11,0,128,84,53
309.5,360.91,NaN,1.33,24647,62803,0.392449405,399,4448,0.129272262,72,435,58,3497,36661,34650,34408,1310,0.038072541,149374,4.341257847,343.3885057,1153,103,0,487,31,1692,0,675,764,172,404,185,41,18,26,556,231,363,92,1225,474,500,542,1199,222,1120,388,446,170,476,6,90,0,0,0,27,197,0,45,54,47,129,399,199,0
310,361.41,36.63,1.34,25146,62661,0.401302245,390,3986,0.119541747,50,435,55,3534,34391,33730,33344,1524,0.045705374,154482,4.632977447,355.1310345,822,37,33,497,116,1880,0,577,764,76,227,75,47,27,29,278,355,241,84,1333,312,727,657,1736,35,1298,413,600,257,365,0,0,0,0,37,144,186,0,0,0,0,83,533,265,98
310.5,361.91,NaN,1.18,24475,62955,0.388769756,352,4025,0.121183838,10,404,6,3594,34789,34236,33214,1366,0.041127236,143159,4.310200518,354.3539604,1021,79,0,389,123,1604,14,613,754,72,317,0,47,0,103,184,209,372,49,1254,408,752,686,1340,57,1032,276,486,154,559,60,110,0,0,14,48,154,0,0,0,0,0,325,148,64
311,362.41,NaN,1.36,24559,61741,0.397774574,430,4507,0.133426093,61,402,53,3593,35710,34590,33779,917,0.027147044,136044,4.02747269,338.4179104,860,8,0,453,112,1490,102,577,857,86,355,46,44,22,88,478,20,381,70,1459,446,706,657,937,24,1256,343,572,383,424,126,0,0,0,63,164,140,0,100,0,0,85,429,97,154
311.5,362.91,NaN,1.34,24420,62053,0.393534559,446,4765,0.141466021,25,355,89,3795,35963,34709,33683,1272,0.037763857,132701,3.939702521,373.8056338,927,188,0,307,9,1313,27,517,775,18,408,0,12,44,107,440,92,428,198,1235,426,771,493,801,263,1320,400,480,265,466,0,7,0,0,13,0,10,52,0,0,27,36,203,91,78
312,363.41,36.3,1.29,22964,61385,0.374097907,383,4884,0.144874229,29,340,75,3681,36621,34516,33712,1388,0.041172283,128835,3.821636213,378.9264706,768,156,0,442,39,1267,8,658,913,100,612,146,128,43,105,314,337,401,159,1283,430,643,870,722,183,1040,448,488,298,384,187,0,0,0,32,144,134,168,90,93,0,12,208,132,29
312.5,363.91,NaN,1.43,24257,62186,0.39007172,431,4828,0.142154698,36,347,62,3646,36292,33825,33963,1634,0.04811118,121325,3.572269823,349.6397695,834,80,8,374,11,1202,153,771,949,146,493,0,130,0,95,668,0,441,127,1324,432,623,622,630,104,1360,420,467,315,284,156,54,0,0,0,128,87,12,11,0,0,0,319,163,194
313,364.41,NaN,1.38,23625,63098,0.374417573,472,5093,0.144126553,76,306,64,3775,38776,34335,35337,966,0.027336786,115647,3.272688683,377.9313725,835,146,56,480,115,994,57,631,833,79,626,84,22,10,33,503,80,404,115,1457,458,723,410,915,15,1108,392,587,369,395,176,36,0,0,32,171,159,182,9,0,0,0,167,98,147
313.5,364.91,NaN,1.26,23098,62527,0.369408416,399,5194,0.142266291,15,259,53,3727,39122,34781,36509,451,0.012353118,117721,3.22443781,454.5212355,787,106,28,456,44,1031,39,718,854,113,577,126,0,25,44,228,444,391,88,1308,483,619,533,627,33,964,438,545,425,306,0,0,48,0,4,0,186,0,54,0,54,28,340,119,171
314,365.41,36.98,1.26,21878,61690,0.354644189,433,5087,0.135881614,25,382,72,3573,39554,35304,37437,1213,0.032401101,127443,3.404199054,333.6204188,870,16,0,481,61,881,0,669,927,123,604,47,86,23,69,21,594,404,144,1371,456,812,711,839,38,943,334,568,242,454,180,48,0,0,0,180,155,344,0,161,85,52,98,224,4
314.5,365.91,NaN,1.36,22628,60086,0.376593549,437,4603,0.126591678,42,372,107,3480,38215,38120,36361,1093,0.030059679,138140,3.799125437,371.344086,903,30,0,453,71,937,13,691,873,65,613,45,66,63,36,241,329,420,114,1359,539,610,758,1088,165,1209,557,526,281,429,205,118,0,0,0,172,176,375,66,9,0,0,27,74,0
315,366.41,NaN,1.28,23423,62416,0.375272366,419,4330,0.119563717,7,339,86,3457,37657,39906,36215,1139,0.031451056,130999,3.617258042,386.4277286,950,56,5,491,113,1264,6,640,921,92,404,85,153,35,80,157,326,473,129,1309,515,492,591,775,123,981,165,533,344,501,28,0,45,0,19,57,152,0,101,25,98,50,561,88,154
315.5,366.91,NaN,1.36,23210,63658,0.364604606,428,5031,0.129441428,52,359,93,3641,40678,45424,38867,1610,0.041423315,112759,2.901150076,314.091922,809,15,0,638,111,956,24,791,1009,107,354,99,129,12,114,541,140,581,149,1430,420,684,757,753,76,1076,143,516,63,510,66,88,0,0,0,9,218,45,17,0,26,0,337,119,95
316,367.41,40.04,1.23,23590,60853,0.387655498,444,5230,0.133838319,7,377,59,3749,41930,47238,39077,1243,0.031808993,106437,2.723776134,282.3262599,763,81,37,390,70,672,0,695,1074,160,583,65,155,0,49,609,166,598,37,1536,408,534,582,586,0,1132,257,641,384,370,22,0,0,9,0,73,82,209,9,92,12,0,35,181,29
316.5,367.91,NaN,1.21,24608,61854,0.397840075,445,4861,0.125815302,20,363,81,3578,41136,46623,38636,1445,0.037400352,104089,2.694093591,286.7465565,579,92,0,480,111,571,48,875,1100,152,548,33,128,50,103,847,0,651,161,1550,471,535,615,1006,59,1398,234,514,191,376,0,40,115,0,99,0,28,175,104,0,0,0,234,114,87
317,368.41,NaN,1.11,23799,62931,0.378176098,415,4715,0.124258796,37,264,57,3834,39409,44611,37945,1484,0.039109237,100785,2.65608117,381.7613636,691,163,14,365,57,725,14,735,1014,24,607,100,10,0,26,456,261,547,103,1426,534,625,501,369,10,849,432,663,579,469,0,0,129,64,81,98,58,209,122,71,30,0,62,156,64
317.5,368.91,NaN,1.18,23013,62038,0.370950063,385,4733,0.123509303,69,290,21,3820,39971,43568,38321,1435,0.037446831,99287,2.590929255,342.3689655,661,181,48,546,148,745,77,779,1139,81,534,131,93,0,94,235,407,335,105,1223,339,799,757,178,77,615,423,458,392,303,36,0,9,0,13,52,73,77,70,0,0,0,266,232,144
318,369.41,43.31,1.19,22139,62026,0.356930964,459,5001,0.130295451,69,296,65,3831,40192,43015,38382,1037,0.027017873,98427,2.56440519,332.5236486,528,122,0,455,111,638,0,644,1024,66,571,0,45,0,78,207,189,452,133,1273,485,642,869,1213,0,817,286,524,230,450,0,39,195,39,74,0,37,311,72,70,155,16,136,0,0
318.5,369.91,NaN,1.19,24484,60487,0.404781193,470,4883,0.136240618,24,267,62,3799,38978,39502,35841,610,0.017019614,99133,2.765910549,371.2846442,666,102,44,409,115,646,55,630,1138,90,790,29,7,0,0,364,272,428,53,1473,449,624,302,471,11,783,498,533,367,357,127,0,0,0,35,112,118,397,123,13,64,0,0,11,170
319,370.41,NaN,1.22,23179,61176,0.378890415,360,4620,0.135914333,30,285,56,3847,36397,37282,33992,1459,0.042921864,103749,3.052159332,364.0315789,792,107,82,487,59,1072,61,755,912,159,575,40,183,0,44,605,39,427,104,1399,489,622,740,13,101,481,573,488,410,131,128,6,30,0,0,0,54,0,28,0,46,0,300,280,74
319.5,370.91,NaN,1.17,23158,60638,0.381905736,384,4370,0.129121853,34,337,14,3743,35307,35272,33844,952,0.028129063,113321,3.34833353,336.264095,567,67,31,388,132,1129,0,686,979,149,514,55,103,28,61,477,22,421,83,1332,476,632,630,1716,19,957,187,452,135,462,69,61,0,49,24,141,115,0,49,0,0,31,494,147,15
320,371.41,44.3,1.29,23148,61217,0.378130258,392,4806,0.137565835,29,329,50,3757,37652,34253,34936,802,0.022956263,111869,3.202112434,340.0273556,619,126,0,456,123,964,48,742,925,66,788,0,81,0,10,392,300,413,88,1354,499,735,566,851,58,1135,396,456,291,417,81,20,0,47,0,130,41,78,52,0,0,0,98,12,41
320.5,371.91,NaN,1.28,22726,62665,0.362658581,450,5047,0.134029106,25,305,42,3607,39519,37458,37656,1055,0.028016784,96041,2.550483323,314.8885246,670,79,0,425,81,1085,46,776,966,176,662,58,20,28,58,543,90,298,137,1313,504,719,825,618,0,790,245,595,302,550,155,65,0,0,0,69,66,0,86,0,0,14,474,40,124
321,372.41,NaN,1.36,22421,63416,0.353554308,438,5112,0.135255986,74,295,92,3714,39917,38331,37795,936,0.024765181,90256,2.388040746,305.9525424,601,150,38,563,176,717,73,732,1052,169,742,143,85,20,114,311,302,466,106,1444,467,653,755,783,0,764,388,462,212,418,35,24,18,0,0,20,97,0,0,0,10,0,183,126,152
321.5,372.91,NaN,1.21,22738,62846,0.361805047,426,5195,0.142637489,9,282,50,3685,39628,38915,36421,1502,0.041239944,88677,2.43477664,314.4574468,658,75,48,531,87,1001,124,868,1173,209,746,123,0,32,25,713,72,522,59,1465,555,596,724,66,0,890,308,607,494,331,120,0,0,0,35,99,199,0,62,0,61,90,615,109,0
322,373.41,45.52,1.24,23210,60800,0.381743421,434,5270,0.14549169,45,293,93,3798,40121,39428,36222,1179,0.032549279,86819,2.396858263,296.3105802,622,269,0,312,80,566,0,712,1100,116,794,98,59,30,87,545,111,470,136,1511,431,648,521,469,114,872,339,427,261,494,0,29,92,175,0,0,0,198,39,0,0,6,148,48,0
322.5,373.91,NaN,1.18,22588,60573,0.37290542,494,5573,0.149675028,79,325,81,3818,39631,39001,37234,592,0.015899447,84653,2.273540313,260.4707692,589,58,15,569,79,352,0,772,1140,199,916,120,35,0,85,461,179,445,132,1331,428,779,596,766,0,613,232,505,299,434,0,0,98,0,0,0,104,470,24,0,89,75,0,72,82
323,374.41,NaN,1.15,23705,61891,0.38301207,384,4784,0.133140376,23,251,85,3637,37886,37493,35932,1434,0.039908716,84943,2.363993098,338.4183267,632,60,7,507,79,407,0,737,1165,122,866,59,30,57,76,456,202,499,136,1467,456,618,676,549,0,1033,209,608,225,427,78,53,43,0,50,8,101,388,50,63,99,109,0,155,210
323.5,374.91,NaN,1.23,23686,63840,0.371021303,359,4404,0.121903286,41,250,37,3727,37024,37608,36127,870,0.024081712,85101,2.35560661,340.404,643,149,116,380,117,804,0,750,1074,170,727,50,0,18,74,410,234,505,79,1418,496,619,656,434,0,888,362,637,329,413,0,32,210,56,59,0,9,0,49,26,38,79,386,72,13
324,375.41,47.49,1.2,23731,63177,0.375627206,377,4818,0.132286318,4,236,53,3614,37646,38867,36421,515,0.014140194,85116,2.337003377,360.6610169,549,149,0,482,62,644,0,730,1000,101,924,134,77,24,98,436,219,536,98,1513,488,638,672,740,0,968,253,533,255,473,0,22,87,0,0,0,8,249,0,119,0,0,12,126,8
324.5,375.91,NaN,1.14,24032,64662,0.371655686,348,4711,0.130545626,54,252,73,3640,37747,40427,36087,1621,0.044919223,88717,2.45841993,352.0515873,627,34,0,512,102,757,91,824,1132,161,766,0,30,0,84,427,173,333,105,1375,531,489,598,754,0,688,120,490,208,611,0,123,131,0,0,0,0,173,18,0,11,0,276,96,72
325,376.41,NaN,1.15,22592,65469,0.345079351,374,4159,0.119538974,50,251,44,3791,36780,39321,34792,1619,0.046533686,90968,2.614624052,362.4223108,593,132,0,442,46,722,0,787,1214,166,783,92,16,0,47,554,52,418,134,1390,353,786,866,497,0,718,262,422,155,374,22,36,69,0,11,30,80,146,0,19,19,0,277,182,84
325.5,376.91,NaN,1.34,23612,65129,0.362542032,343,4251,0.115494335,21,244,20,3726,38318,39316,36807,700,0.019018122,95671,2.59926101,392.0942623,695,167,48,602,147,820,23,735,1082,91,652,42,60,0,25,558,86,343,94,1284,523,508,602,906,17,739,304,415,267,452,45,69,48,0,34,0,72,224,0,17,86,0,191,25,12
326,377.41,49.27,1.19,23673,64424,0.367456227,426,4461,0.118426292,36,300,40,3651,38430,39638,37669,1142,0.030316706,95960,2.547452813,319.8666667,712,153,31,453,125,870,0,662,1112,208,702,9,0,0,142,445,166,512,170,1411,541,590,671,876,56,873,282,470,182,471,64,46,0,0,0,46,154,84,66,83,7,25,305,166,193
326.5,377.91,NaN,1.13,24283,61629,0.394019049,356,4053,0.108371882,19,278,26,3654,38345,38940,37399,1643,0.043931656,94539,2.527848338,340.0683453,764,144,46,481,58,893,0,730,1042,226,632,48,0,57,47,266,249,465,82,1285,470,645,724,282,45,636,416,460,262,354,92,109,8,0,0,0,23,0,0,0,82,0,205,101,0
327,378.41,NaN,1.17,23964,61764,0.387993006,341,3851,0.107019787,0,233,71,3778,36562,38180,35984,1083,0.03009671,94391,2.623138061,405.111588,718,202,51,464,120,752,0,804,1048,95,703,117,102,0,87,604,93,437,111,1477,505,637,575,899,109,767,305,467,156,439,0,111,207,46,41,0,78,205,46,96,44,94,199,10,89
327.5,378.91,NaN,1.18,23958,61199,0.391476985,320,3512,0.098679404,0,253,16,3756,37391,38594,35590,1533,0.043073897,96339,2.706912054,380.7865613,767,150,0,520,61,732,16,731,1008,219,572,160,43,32,52,303,233,457,31,1342,451,615,705,228,0,731,256,550,367,550,0,40,32,0,0,39,109,202,0,0,33,0,203,90,0
328,379.41,50.78,1.23,23999,62661,0.382997399,344,4171,0.112980118,19,311,84,3663,39861,43029,36918,1371,0.037136356,101142,2.7396392,325.2154341,604,220,89,536,51,535,88,858,1047,131,755,94,51,16,46,494,153,490,165,1544,392,690,589,854,127,878,355,447,278,304,0,63,160,0,0,0,37,373,61,0,30,90,0,155,0
328.5,379.91,NaN,1.37,25391,61483,0.412975945,381,4221,0.107799571,47,298,96,3637,41477,45615,39156,1913,0.048855859,104193,2.660971499,349.6409396,626,86,101,597,97,925,0,797,970,161,555,90,44,25,94,550,0,664,141,1612,320,569,498,911,140,1524,352,490,230,221,48,0,0,0,71,83,151,0,0,37,97,176,390,224,0
329,380.41,NaN,1.2,23963,61649,0.388700547,308,3940,0.100968684,0,296,101,3717,40260,48562,39022,1217,0.031187535,100229,2.568525447,338.6114865,624,141,0,584,80,822,0,885,1116,86,505,141,22,0,59,627,93,614,76,1378,483,696,478,688,44,1038,283,504,318,440,0,23,104,0,47,19,130,0,12,12,83,89,435,89,114
329.5,380.91,NaN,1.18,23158,61466,0.376761136,319,3918,0.107360114,31,291,88,3793,38682,49663,36494,979,0.026826328,93439,2.560393489,321.0962199,601,75,0,349,56,448,59,809,1159,146,619,95,0,29,80,335,261,686,144,1476,377,817,774,751,41,898,354,431,261,427,158,96,0,53,54,121,108,405,58,15,0,0,61,168,97
330,381.41,53.57,1.19,22075,61009,0.361831861,401,4008,0.114295491,62,221,102,3792,38081,51574,35067,1648,0.046995751,89691,2.557703824,405.841629,643,20,0,322,60,448,0,803,1248,104,702,68,145,0,82,208,275,581,62,1329,476,571,890,690,0,673,283,480,248,408,146,35,0,46,0,150,0,377,0,0,0,75,29,275,69
330.5,381.91,NaN,1.17,22063,63667,0.346537453,330,3821,0.108575813,0,224,12,3714,37920,48503,35192,769,0.021851557,91212,2.591839054,407.1964286,597,136,0,349,105,678,7,777,1224,130,734,56,7,47,0,534,92,612,146,1350,423,590,834,885,0,970,287,538,166,417,0,88,124,33,0,0,77,138,0,0,16,20,19,170,104
331,382.41,NaN,1.14,22179,61213,0.362324996,386,4376,0.121839849,31,276,73,3666,38967,47313,35916,874,0.024334558,95854,2.668838401,347.2971014,702,191,6,485,114,673,0,773,1108,94,696,60,27,6,69,506,166,606,140,1374,356,767,743,825,96,760,267,420,214,508,0,105,110,0,42,0,28,329,33,0,0,0,0,0,30
331.5,382.91,NaN,1.28,22415,62193,0.360410336,433,4753,0.128556746,15,275,57,3668,39922,45500,36972,1390,0.037596019,101687,2.750378665,369.7709091,833,48,0,493,15,946,65,685,1046,120,668,28,78,33,58,315,254,415,92,1262,445,694,609,397,32,743,210,494,283,503,199,34,0,0,0,116,163,97,0,0,0,0,175,62,25
332,383.41,54.67,1.18,24388,63400,0.38466877,389,4675,0.130974393,45,310,71,3702,38255,41819,35694,942,0.02639099,109387,3.06457668,352.8612903,702,110,0,441,74,1025,37,767,1118,45,425,89,9,0,74,492,71,491,56,1445,530,483,328,1174,88,1113,131,358,188,462,0,25,0,0,47,0,119,78,53,0,71,0,326,95,94
332.5,383.91,NaN,1.36,23188,63046,0.367794943,409,4466,0.129863332,23,322,49,3516,36956,37689,34390,884,0.025705147,115790,3.366967142,359.5962733,830,67,0,263,79,1000,0,689,936,81,572,43,102,18,113,399,161,445,56,1377,357,764,746,932,9,823,298,534,272,457,177,84,0,172,0,117,0,262,43,87,0,54,136,118,0
333,384.41,NaN,1.28,23222,63368,0.366462568,412,4583,0.133343032,11,317,11,3760,38094,36741,34370,737,0.021443119,111452,3.242711667,351.5835962,673,95,0,464,36,1226,0,588,943,111,535,38,33,24,0,146,401,229,102,1322,435,629,579,935,0,829,343,541,311,401,0,0,43,0,0,0,59,0,0,10,8,0,424,0,69
333.5,384.91,NaN,1.12,24109,62421,0.386232197,420,4899,0.134094268,44,342,79,3675,39146,38132,36534,1175,0.032161822,101787,2.78608967,297.622807,908,190,51,442,41,829,0,580,1005,121,761,77,0,17,25,367,190,406,113,1261,424,545,460,424,49,620,288,537,295,432,27,89,63,0,0,0,38,313,72,99,101,8,0,0,0
334,385.41,50.01,1.22,23529,63911,0.368152587,401,4957,0.131325174,43,326,86,3679,40067,40324,37746,1445,0.038282202,95117,2.519922641,291.7699387,614,121,112,486,65,642,60,822,1053,99,823,44,0,0,100,609,158,501,163,1665,543,596,660,803,48,1098,425,530,324,258,95,0,0,0,0,110,141,340,60,0,0,22,6,179,43
334.5,385.91,NaN,1.17,23427,63768,0.367378623,410,5049,0.132906894,0,271,46,3592,40690,41009,37989,784,0.020637553,96493,2.540024744,356.0627306,684,102,66,449,66,812,0,669,1067,47,756,87,0,11,41,579,90,512,106,1489,398,690,497,709,0,767,476,528,352,406,79,15,0,0,0,131,129,194,32,173,42,96,57,29,7
335,386.41,NaN,1.18,23429,62331,0.375880381,434,4842,0.12843842,36,273,76,3818,39594,41299,37699,1048,0.027799146,96366,2.556195125,352.989011,680,96,66,427,127,731,0,757,1137,131,678,73,63,14,18,618,213,471,143,1494,476,791,669,770,0,674,378,477,316,288,79,0,0,0,0,17,0,107,0,0,71,16,199,186,237
335.5,386.91,NaN,1.11,23400,62018,0.377309813,325,4095,0.116275768,59,232,92,3611,36949,41518,35218,1103,0.031319212,86021,2.442529388,370.7801724,744,106,0,375,104,718,0,709,1082,0,560,101,101,9,59,471,199,523,147,1300,508,443,483,542,93,738,131,351,60,478,49,184,0,70,0,0,0,6,0,0,0,85,301,170,12
336,387.41,47.13,1.25,22795,59489,0.383180084,352,3730,0.111870914,56,224,78,3881,34603,41092,33342,978,0.029332374,81498,2.444304481,363.8303571,671,149,0,410,81,624,0,723,1214,83,752,0,76,0,103,525,30,538,106,1297,486,665,453,232,0,640,202,501,329,424,0,54,145,13,0,0,0,113,0,0,0,0,98,69,0
336.5,387.91,NaN,1.19,22602,56012,0.403520674,253,3331,0.100042047,47,245,69,3764,34335,38942,33296,1222,0.036701105,85657,2.572591302,349.6204082,727,156,0,525,87,580,0,791,1095,62,731,71,53,0,120,458,178,567,139,1381,451,558,557,413,7,977,158,484,112,474,0,142,135,0,0,0,29,294,11,0,85,0,0,94,0
337,388.41,NaN,1.19,22548,59226,0.380711174,318,3703,0.107701704,14,262,79,3520,36494,40352,34382,812,0.023617009,95376,2.774009656,364.0305344,689,110,0,542,96,1046,101,833,1141,100,436,32,23,64,76,574,160,471,110,1391,429,685,611,478,0,1110,171,549,273,538,0,60,182,0,10,0,179,0,65,7,157,34,492,50,84
337.5,388.91,NaN,1.2,24163,61277,0.394324135,395,4298,0.114744907,63,319,92,3297,39974,44401,37457,1165,0.031102331,103261,2.756787783,323.7021944,777,187,0,426,117,1030,30,874,1014,64,354,0,0,79,23,529,209,551,102,1309,399,626,480,480,0,931,317,552,315,526,0,40,123,5,24,0,60,0,0,0,31,0,378,86,86
338,389.41,46.98,1.35,22066,61740,0.357402008,365,4900,0.132590107,0,291,21,3792,40427,45906,36956,1341,0.036286395,100163,2.710331205,344.2027491,596,118,50,622,65,608,0,740,1187,134,585,0,85,0,61,374,421,451,111,1479,413,635,834,746,68,829,365,454,350,398,63,0,46,0,108,54,208,280,88,106,101,80,188,100,106
338.5,389.91,NaN,1.19,23819,62691,0.379942895,411,4981,0.137198733,24,333,57,3818,39261,43739,36305,1091,0.030050957,94154,2.593416885,282.7447447,639,141,0,466,90,748,0,669,1206,84,426,40,0,0,28,455,183,596,100,1448,441,603,479,553,37,838,376,482,323,343,0,0,20,0,27,0,32,69,0,48,81,0,320,224,32
339,390.41,NaN,1.33,22349,61069,0.365963091,404,4760,0.130200498,10,335,90,3947,38479,41432,36559,1108,0.030307175,90999,2.489099811,271.638806,713,101,0,511,95,507,130,937,1119,71,659,83,50,0,77,850,0,574,75,1453,453,637,959,770,0,785,149,488,167,421,0,38,136,0,0,0,151,351,30,0,0,5,44,107,170
339.5,390.91,NaN,1.18,23286,61758,0.377052366,415,4825,0.128045221,64,319,54,3923,38107,39540,37682,1111,0.029483573,91297,2.422827875,286.1974922,801,119,0,551,96,582,0,690,1041,96,780,84,74,8,73,333,205,559,168,1404,457,635,602,452,28,637,256,548,255,510,0,87,107,0,26,0,120,301,156,110,41,0,129,8,0
340,391.41,46.54,1.15,23441,63958,0.366506145,396,5035,0.134841993,28,318,118,3751,40022,40935,37340,606,0.016229245,93128,2.494054633,292.8553459,586,85,29,384,139,943,6,780,1106,210,712,108,117,48,120,339,346,559,152,1538,432,795,657,979,39,881,308,534,224,480,71,70,25,66,0,105,53,0,87,24,0,0,346,148,135
340.5,391.91,NaN,1.31,23817,62387,0.381762226,466,4890,0.131363331,48,370,114,4047,39697,39915,37225,1918,0.051524513,100047,2.687629281,270.3972973,648,25,5,362,71,966,0,754,1119,222,612,149,134,0,46,491,271,459,164,1516,481,424,624,399,0,1189,150,558,321,369,128,0,0,0,13,10,106,0,29,86,100,181,451,166,58
341,392.41,NaN,1.31,23092,63744,0.362261546,330,4638,0.128270369,17,320,18,3857,37689,39222,36158,499,0.013800542,102437,2.833038332,320.115625,645,155,57,571,84,1110,0,741,1073,132,568,41,167,0,0,311,309,307,57,1340,393,633,761,565,9,929,318,597,364,491,0,57,134,0,0,56,127,0,39,42,35,94,461,140,119
341.5,392.91,NaN,1.07,24703,62093,0.397838726,408,4539,0.127224823,99,368,68,3774,37761,37535,35677,1447,0.040558343,100515,2.817361325,273.138587,765,200,0,492,70,945,126,784,988,152,709,144,44,68,61,418,290,475,140,1425,482,575,411,746,195,791,468,443,285,425,54,50,0,0,0,17,114,76,56,0,29,16,190,138,60
